old_path,old_url,new_path,new_url,status,confidence,reason
/payment-introduction,https://chinachild.ru/payment-introduction,/price,https://chinachild.ru/price,301,medium,"old payment page; closest current pricing page"
/education-programm,https://chinachild.ru/education-programm,/docs,https://chinachild.ru/docs,301,high,"old education program/document page; current regulatory documents page"
/enter-test,https://chinachild.ru/enter-test,/chinese/hsk-test,https://chinachild.ru/chinese/hsk-test,301,high,"old entrance test; current HSK test landing"
/test-hsk,https://chinachild.ru/test-hsk,/chinese/hsk-test,https://chinachild.ru/chinese/hsk-test,301,high,"old HSK test landing; current HSK test landing"
/test-hsk-1,https://chinachild.ru/test-hsk-1,/chinese/hsk-test/level-1,https://chinachild.ru/chinese/hsk-test/level-1,301,high,"old HSK 1 test; current HSK 1 test page"
/test-hsk-2,https://chinachild.ru/test-hsk-2,/chinese/hsk-test/level-2,https://chinachild.ru/chinese/hsk-test/level-2,301,high,"old HSK 2 test; current HSK 2 test page"
/test-hsk-3,https://chinachild.ru/test-hsk-3,/chinese/hsk-test/level-3,https://chinachild.ru/chinese/hsk-test/level-3,301,high,"old HSK 3 test; current HSK 3 test page"
/test-hsk-4,https://chinachild.ru/test-hsk-4,/chinese/hsk-test/level-4,https://chinachild.ru/chinese/hsk-test/level-4,301,high,"old HSK 4 test; current HSK 4 test page"
/hsk-1,https://chinachild.ru/hsk-1,/hsk/hsk-1,https://chinachild.ru/hsk/hsk-1,301,high,"old HSK 1 page; current HSK 1 page"
/hsk-2,https://chinachild.ru/hsk-2,/hsk/hsk-2,https://chinachild.ru/hsk/hsk-2,301,high,"old HSK 2 page; current HSK 2 page"
/hsk-3,https://chinachild.ru/hsk-3,/hsk/hsk-3,https://chinachild.ru/hsk/hsk-3,301,medium,"likely old HSK 3 page; current HSK 3 page"
/hsk-4,https://chinachild.ru/hsk-4,/hsk/hsk-4,https://chinachild.ru/hsk/hsk-4,301,medium,"likely old HSK 4 page; current HSK 4 page"
/hsk-5,https://chinachild.ru/hsk-5,/hsk/hsk-5,https://chinachild.ru/hsk/hsk-5,301,medium,"likely old HSK 5 page; current HSK 5 page"
/hsk-6,https://chinachild.ru/hsk-6,/hsk/hsk-6,https://chinachild.ru/hsk/hsk-6,301,medium,"likely old HSK 6 page; current HSK 6 page"
/hsk,https://chinachild.ru/hsk,/learn/hsk,https://chinachild.ru/learn/hsk,301,high,"old HSK hub; current HSK learning hub"
/registration,https://chinachild.ru/registration,/free-trial,https://chinachild.ru/free-trial,301,medium,"old registration page; current lead page"
/members,https://chinachild.ru/members,,https://my.chinachild.ru,301,high,"old member area; platform now lives on my.chinachild.ru"
/members/,https://chinachild.ru/members/,,https://my.chinachild.ru,301,high,"old member area; platform now lives on my.chinachild.ru"
/members/login,https://chinachild.ru/members/login,,https://my.chinachild.ru,301,high,"old login path; platform now lives on my.chinachild.ru"
/members/signup,https://chinachild.ru/members/signup,,https://my.chinachild.ru,301,high,"old signup path; platform now lives on my.chinachild.ru"
/hsk1-versions1-5,https://chinachild.ru/hsk1-versions1-5,/hsk/hsk-1,https://chinachild.ru/hsk/hsk-1,301,high,"old HSK 1 version pack; current HSK 1 page"
